"rt","stimulus","response","trial_type","trial_index","plugin_version","time_elapsed","task","phase","word_root","is_plural","suffix_shown","condition","subject_id","correct_word","foil_word","correct_index","correct","points_total","species","image","correct_species","is_novel","rep","dup_button_index","nup_button_index","correct_suffix","chosen_suffix","chose_nup","gulu_button_index","norl_button_index","chosen_species","chose_norl"
"5191","
      <div class=""trial-box"">
        <img src=""images/nesel_plur.png"" class=""stim-image"" alt=""nesel_plur.png"">
        <p class=""instr-text"">Which word matches this picture?</p>
      </div>","0","html-button-response","10","2.1.0","54388","forced_choice","stage1","nesel","true","","Exposure","guapzdtayb","neseldup","nelesdup","0","true","3","","","","","","","","","","","","","",""
"1191","
        <div class=""trial-box feedback-box feedback-correct"">
          <p>✓ Correct!</p>
          <p>The correct answer was: <strong>neseldup</strong></p>
        </div>","0","html-button-response","11","2.1.0","55579","feedback","stage1","","","","Exposure","guapzdtayb","","","","","","","","","","","","","","","","","","",""
"2427","
      <div class=""trial-box"">
        <img src=""images/takoles_sing.png"" class=""stim-image"" alt=""takoles_sing.png"">
        <p class=""instr-text"">Which word matches this picture?</p>
      </div>","1","html-button-response","12","2.1.0","58007","forced_choice","stage1","takoles","false","","Exposure","guapzdtayb","takoles","katoles","1","true","4","","","","","","","","","","","","","",""
"1039","
        <div class=""trial-box feedback-box feedback-correct"">
          <p>✓ Correct!</p>
          <p>The correct answer was: <strong>takoles</strong></p>
        </div>","0","html-button-response","13","2.1.0","59047","feedback","stage1","","","","Exposure","guapzdtayb","","","","","","","","","","","","","","","","","","",""
"1962","
      <div class=""trial-box"">
        <div class=""word-display"">laniz</div>
        <img src=""images/laniz_sing.png"" class=""stim-image"" alt=""laniz_sing.png"">
      </div>","0","html-button-response","14","2.1.0","61010","passive_exposure","stage1","laniz","false","null","Exposure","guapzdtayb","","","","","","","","","","","","","","","","","","",""
"2850","
      <div class=""trial-box"">
        <div class=""word-display"">wukindup</div>
        <img src=""images/wukin_plur.png"" class=""stim-image"" alt=""wukin_plur.png"">
      </div>","0","html-button-response","15","2.1.0","63860","passive_exposure","stage1","wukin","true","dup","Exposure","guapzdtayb","","","","","","","","","","","","","","","","","","",""
"3465","
      <div class=""trial-box"">
        <div class=""word-display"">maqubdup</div>
        <img src=""images/maqub_plur.png"" class=""stim-image"" alt=""maqub_plur.png"">
      </div>","0","html-button-response","16","2.1.0","67326","passive_exposure","stage1","maqub","true","dup","Exposure","guapzdtayb","","","","","","","","","","","","","","","","","","",""
"2128","
      <div class=""trial-box"">
        <div class=""word-display"">firot</div>
        <img src=""images/firot_sing.png"" class=""stim-image"" alt=""firot_sing.png"">
      </div>","0","html-button-response","17","2.1.0","69454","passive_exposure","stage1","firot","false","null","Exposure","guapzdtayb","","","","","","","","","","","","","","","","","","",""
"3348","
      <div class=""trial-box"">
        <img src=""images/maqub_plur.png"" class=""stim-image"" alt=""maqub_plur.png"">
        <p class=""instr-text"">Which word matches this picture?</p>
      </div>","0","html-button-response","18","2.1.0","72803","forced_choice","stage1","maqub","true","","Exposure","guapzdtayb","maqubdup","mabuqdup","0","true","5","","","","","","","","","","","","","",""
"1234","
        <div class=""trial-box feedback-box feedback-correct"">
          <p>✓ Correct!</p>
          <p>The correct answer was: <strong>maqubdup</strong></p>
        </div>","0","html-button-response","19","2.1.0","74038","feedback","stage1","","","","Exposure","guapzdtayb","","","","","","","","","","","","","","","","","","",""
"4531","
      <div class=""trial-box"">
        <img src=""images/wukin_plur.png"" class=""stim-image"" alt=""wukin_plur.png"">
        <p class=""instr-text"">Which word matches this picture?</p>
      </div>","0","html-button-response","20","2.1.0","78569","forced_choice","stage1","wukin","true","","Exposure","guapzdtayb","wukindup","wikundup","0","true","6","","","","","","","","","","","","","",""
"981","
        <div class=""trial-box feedback-box feedback-correct"">
          <p>✓ Correct!</p>
          <p>The correct answer was: <strong>wukindup</strong></p>
        </div>","0","html-button-response","21","2.1.0","79551","feedback","stage1","","","","Exposure","guapzdtayb","","","","","","","","","","","","","","","","","","",""
"2489","
      <div class=""trial-box"">
        <img src=""images/laniz_sing.png"" class=""stim-image"" alt=""laniz_sing.png"">
        <p class=""instr-text"">Which word matches this picture?</p>
      </div>","1","html-button-response","22","2.1.0","82041","forced_choice","stage1","laniz","false","","Exposure","guapzdtayb","laniz","lazin","1","true","7","","","","","","","","","","","","","",""
"1078","
        <div class=""trial-box feedback-box feedback-correct"">
          <p>✓ Correct!</p>
          <p>The correct answer was: <strong>laniz</strong></p>
        </div>","0","html-button-response","23","2.1.0","83119","feedback","stage1","","","","Exposure","guapzdtayb","","","","","","","","","","","","","","","","","","",""
"2063","
      <div class=""trial-box"">
        <img src=""images/firot_sing.png"" class=""stim-image"" alt=""firot_sing.png"">
        <p class=""instr-text"">Which word matches this picture?</p>
      </div>","0","html-button-response","24","2.1.0","85183","forced_choice","stage1","firot","false","","Exposure","guapzdtayb","firot","fitor","0","true","8","","","","","","","","","","","","","",""
"967","
        <div class=""trial-box feedback-box feedback-correct"">
          <p>✓ Correct!</p>
          <p>The correct answer was: <strong>firot</strong></p>
        </div>","0","html-button-response","25","2.1.0","86151","feedback","stage1","","","","Exposure","guapzdtayb","","","","","","","","","","","","","","","","","","",""
"2836","
      <div class=""trial-box"">
        <div class=""word-display"">tugan</div>
        <img src=""images/tugan_sing.png"" class=""stim-image"" alt=""tugan_sing.png"">
      </div>","0","html-button-response","26","2.1.0","88988","passive_exposure","stage1","tugan","false","null","Exposure","guapzdtayb","","","","","","","","","","","","","","","","","","",""
"3599","
      <div class=""trial-box"">
        <div class=""word-display"">wumosdup</div>
        <img src=""images/wumos_plur.png"" class=""stim-image"" alt=""wumos_plur.png"">
      </div>","0","html-button-response","27","2.1.0","92587","passive_exposure","stage1","wumos","true","dup","Exposure","guapzdtayb","","","","","","","","","","","","","","","","","","",""
"2787","
      <div class=""trial-box"">
        <div class=""word-display"">nuwik</div>
        <img src=""images/nuwik_sing.png"" class=""stim-image"" alt=""nuwik_sing.png"">
      </div>","0","html-button-response","28","2.1.0","95375","passive_exposure","stage1","nuwik","false","null","Exposure","guapzdtayb","","","","","","","","","","","","","","","","","","",""
"3610","
      <div class=""trial-box"">
        <div class=""word-display"">hiwendup</div>
        <img src=""images/hiwen_plur.png"" class=""stim-image"" alt=""hiwen_plur.png"">
      </div>","0","html-button-response","29","2.1.0","98986","passive_exposure","stage1","hiwen","true","dup","Exposure","guapzdtayb","","","","","","","","","","","","","","","","","","",""
"2129","
      <div class=""trial-box"">
        <img src=""images/tugan_sing.png"" class=""stim-image"" alt=""tugan_sing.png"">
        <p class=""instr-text"">Which word matches this picture?</p>
      </div>","0","html-button-response","30","2.1.0","101115","forced_choice","stage1","tugan","false","","Exposure","guapzdtayb","tugan","tagun","0","true","9","","","","","","","","","","","","","",""
"844","
        <div class=""trial-box feedback-box feedback-correct"">
          <p>✓ Correct!</p>
          <p>The correct answer was: <strong>tugan</strong></p>
        </div>","0","html-button-response","31","2.1.0","101960","feedback","stage1","","","","Exposure","guapzdtayb","","","","","","","","","","","","","","","","","","",""
"2333","
      <div class=""trial-box"">
        <img src=""images/nuwik_sing.png"" class=""stim-image"" alt=""nuwik_sing.png"">
        <p class=""instr-text"">Which word matches this picture?</p>
      </div>","1","html-button-response","32","2.1.0","104293","forced_choice","stage1","nuwik","false","","Exposure","guapzdtayb","nuwik","niwuk","1","true","10","","","","","","","","","","","","","",""
"1144","
        <div class=""trial-box feedback-box feedback-correct"">
          <p>✓ Correct!</p>
          <p>The correct answer was: <strong>nuwik</strong></p>
        </div>","0","html-button-response","33","2.1.0","105438","feedback","stage1","","","","Exposure","guapzdtayb","","","","","","","","","","","","","","","","","","",""
"3194","
      <div class=""trial-box"">
        <img src=""images/wumos_plur.png"" class=""stim-image"" alt=""wumos_plur.png"">
        <p class=""instr-text"">Which word matches this picture?</p>
      </div>","0","html-button-response","34","2.1.0","108633","forced_choice","stage1","wumos","true","","Exposure","guapzdtayb","wumosdup","womusdup","0","true","11","","","","","","","","","","","","","",""
"810","
        <div class=""trial-box feedback-box feedback-correct"">
          <p>✓ Correct!</p>
          <p>The correct answer was: <strong>wumosdup</strong></p>
        </div>","0","html-button-response","35","2.1.0","109443","feedback","stage1","","","","Exposure","guapzdtayb","","","","","","","","","","","","","","","","","","",""
"3098","
      <div class=""trial-box"">
        <img src=""images/hiwen_plur.png"" class=""stim-image"" alt=""hiwen_plur.png"">
        <p class=""instr-text"">Which word matches this picture?</p>
      </div>","0","html-button-response","36","2.1.0","112542","forced_choice","stage1","hiwen","true","","Exposure","guapzdtayb","hiwendup","wihendup","1","false","11","","","","","","","","","","","","","",""
"null","
        <div class=""trial-box feedback-box feedback-incorrect"">
          <p>✗ Incorrect</p>
          <p>The correct answer was: <strong>hiwendup</strong></p>
        </div>","null","html-button-response","37","2.1.0","114543","feedback","stage1","","","","Exposure","guapzdtayb","","","","","","","","","","","","","","","","","","",""
"32587","
      <div class=""trial-box"">
        <div class=""word-display"">falon</div>
        <img src=""images/falon_sing.png"" class=""stim-image"" alt=""falon_sing.png"">
      </div>","0","html-button-response","38","2.1.0","147131","passive_exposure","stage1","falon","false","null","Exposure","guapzdtayb","","","","","","","","","","","","","","","","","","",""
"2397","
      <div class=""trial-box"">
        <div class=""word-display"">jemulok</div>
        <img src=""images/jemulok_sing.png"" class=""stim-image"" alt=""jemulok_sing.png"">
      </div>","0","html-button-response","39","2.1.0","149530","passive_exposure","stage1","jemulok","false","null","Exposure","guapzdtayb","","","","","","","","","","","","","","","","","","",""
"1608","
      <div class=""trial-box"">
        <img src=""images/falon_sing.png"" class=""stim-image"" alt=""falon_sing.png"">
        <p class=""instr-text"">Which word matches this picture?</p>
      </div>","0","html-button-response","40","2.1.0","151139","forced_choice","stage1","falon","false","","Exposure","guapzdtayb","falon","folan","0","true","12","","","","","","","","","","","","","",""
"998","
        <div class=""trial-box feedback-box feedback-correct"">
          <p>✓ Correct!</p>
          <p>The correct answer was: <strong>falon</strong></p>
        </div>","0","html-button-response","41","2.1.0","152137","feedback","stage1","","","","Exposure","guapzdtayb","","","","","","","","","","","","","","","","","","",""
"1751","
      <div class=""trial-box"">
        <img src=""images/jemulok_sing.png"" class=""stim-image"" alt=""jemulok_sing.png"">
        <p class=""instr-text"">Which word matches this picture?</p>
      </div>","0","html-button-response","42","2.1.0","153888","forced_choice","stage1","jemulok","false","","Exposure","guapzdtayb","jemulok","jelumok","0","true","13","","","","","","","","","","","","","",""
"967","
        <div class=""trial-box feedback-box feedback-correct"">
          <p>✓ Correct!</p>
          <p>The correct answer was: <strong>jemulok</strong></p>
        </div>","0","html-button-response","43","2.1.0","154856","feedback","stage1","","","","Exposure","guapzdtayb","","","","","","","","","","","","","","","","","","",""
"2018","
      <div class=""trial-box"">
        <div class=""word-display"">hiwen</div>
        <img src=""images/hiwen_sing.png"" class=""stim-image"" alt=""hiwen_sing.png"">
      </div>","0","html-button-response","44","2.1.0","156875","passive_exposure","stage1","hiwen","false","null","Exposure","guapzdtayb","","","","","","","","","","","","","","","","","","",""
"2289","
      <div class=""trial-box"">
        <div class=""word-display"">wumos</div>
        <img src=""images/wumos_sing.png"" class=""stim-image"" alt=""wumos_sing.png"">
      </div>","0","html-button-response","45","2.1.0","159165","passive_exposure","stage1","wumos","false","null","Exposure","guapzdtayb","","","","","","","","","","","","","","","","","","",""
"2291","
      <div class=""trial-box"">
        <div class=""word-display"">neseldup</div>
        <img src=""images/nesel_plur.png"" class=""stim-image"" alt=""nesel_plur.png"">
      </div>","0","html-button-response","46","2.1.0","161457","passive_exposure","stage1","nesel","true","dup","Exposure","guapzdtayb","","","","","","","","","","","","","","","","","","",""
"3700","
      <div class=""trial-box"">
        <div class=""word-display"">sehiloddup</div>
        <img src=""images/sehilod_plur.png"" class=""stim-image"" alt=""sehilod_plur.png"">
      </div>","0","html-button-response","47","2.1.0","165157","passive_exposure","stage1","sehilod","true","dup","Exposure","guapzdtayb","","","","","","","","","","","","","","","","","","",""
"2063","
      <div class=""trial-box"">
        <img src=""images/sehilod_plur.png"" class=""stim-image"" alt=""sehilod_plur.png"">
        <p class=""instr-text"">Which word matches this picture?</p>
      </div>","0","html-button-response","48","2.1.0","167220","forced_choice","stage1","sehilod","true","","Exposure","guapzdtayb","sehiloddup","siheloddup","0","true","14","","","","","","","","","","","","","",""
"1485","
        <div class=""trial-box feedback-box feedback-correct"">
          <p>✓ Correct!</p>
          <p>The correct answer was: <strong>sehiloddup</strong></p>
        </div>","0","html-button-response","49","2.1.0","168706","feedback","stage1","","","","Exposure","guapzdtayb","","","","","","","","","","","","","","","","","","",""
"1861","
      <div class=""trial-box"">
        <img src=""images/wumos_sing.png"" class=""stim-image"" alt=""wumos_sing.png"">
        <p class=""instr-text"">Which word matches this picture?</p>
      </div>","1","html-button-response","50","2.1.0","170568","forced_choice","stage1","wumos","false","","Exposure","guapzdtayb","wumos","womus","1","true","15","","","","","","","","","","","","","",""
"900","
        <div class=""trial-box feedback-box feedback-correct"">
          <p>✓ Correct!</p>
          <p>The correct answer was: <strong>wumos</strong></p>
        </div>","0","html-button-response","51","2.1.0","171469","feedback","stage1","","","","Exposure","guapzdtayb","","","","","","","","","","","","","","","","","","",""
"1509","
      <div class=""trial-box"">
        <img src=""images/hiwen_sing.png"" class=""stim-image"" alt=""hiwen_sing.png"">
        <p class=""instr-text"">Which word matches this picture?</p>
      </div>","0","html-button-response","52","2.1.0","172979","forced_choice","stage1","hiwen","false","","Exposure","guapzdtayb","hiwen","wihen","0","true","16","","","","","","","","","","","","","",""
"918","
        <div class=""trial-box feedback-box feedback-correct"">
          <p>✓ Correct!</p>
          <p>The correct answer was: <strong>hiwen</strong></p>
        </div>","0","html-button-response","53","2.1.0","173898","feedback","stage1","","","","Exposure","guapzdtayb","","","","","","","","","","","","","","","","","","",""
"2182","
      <div class=""trial-box"">
        <img src=""images/nesel_plur.png"" class=""stim-image"" alt=""nesel_plur.png"">
        <p class=""instr-text"">Which word matches this picture?</p>
      </div>","0","html-button-response","54","2.1.0","176081","forced_choice","stage1","nesel","true","","Exposure","guapzdtayb","neseldup","nelesdup","0","true","17","","","","","","","","","","","","","",""
"1117","
        <div class=""trial-box feedback-box feedback-correct"">
          <p>✓ Correct!</p>
          <p>The correct answer was: <strong>neseldup</strong></p>
        </div>","0","html-button-response","55","2.1.0","177198","feedback","stage1","","","","Exposure","guapzdtayb","","","","","","","","","","","","","","","","","","",""
"2845","
      <div class=""trial-box"">
        <div class=""word-display"">lanizdup</div>
        <img src=""images/laniz_plur.png"" class=""stim-image"" alt=""laniz_plur.png"">
      </div>","0","html-button-response","56","2.1.0","180044","passive_exposure","stage1","laniz","true","dup","Exposure","guapzdtayb","","","","","","","","","","","","","","","","","","",""
"2400","
      <div class=""trial-box"">
        <div class=""word-display"">firot</div>
        <img src=""images/firot_sing.png"" class=""stim-image"" alt=""firot_sing.png"">
      </div>","0","html-button-response","57","2.1.0","182445","passive_exposure","stage1","firot","false","null","Exposure","guapzdtayb","","","","","","","","","","","","","","","","","","",""
"3120","
      <div class=""trial-box"">
        <div class=""word-display"">jemulok</div>
        <img src=""images/jemulok_sing.png"" class=""stim-image"" alt=""jemulok_sing.png"">
      </div>","0","html-button-response","58","2.1.0","185566","passive_exposure","stage1","jemulok","false","null","Exposure","guapzdtayb","","","","","","","","","","","","","","","","","","",""
"4590","
      <div class=""trial-box"">
        <div class=""word-display"">tugannup</div>
        <img src=""images/tugan_plur.png"" class=""stim-image"" alt=""tugan_plur.png"">
      </div>","0","html-button-response","59","2.1.0","190156","passive_exposure","stage1","tugan","true","nup","Exposure","guapzdtayb","","","","","","","","","","","","","","","","","","",""
"3976","
      <div class=""trial-box"">
        <img src=""images/laniz_plur.png"" class=""stim-image"" alt=""laniz_plur.png"">
        <p class=""instr-text"">Which word matches this picture?</p>
      </div>","1","html-button-response","60","2.1.0","194133","forced_choice","stage1","laniz","true","","Exposure","guapzdtayb","lanizdup","lazindup","0","false","17","","","","","","","","","","","","","",""
"1284","
        <div class=""trial-box feedback-box feedback-incorrect"">
          <p>✗ Incorrect</p>
          <p>The correct answer was: <strong>lanizdup</strong></p>
        </div>","0","html-button-response","61","2.1.0","195418","feedback","stage1","","","","Exposure","guapzdtayb","","","","","","","","","","","","","","","","","","",""
"1347","
      <div class=""trial-box"">
        <img src=""images/firot_sing.png"" class=""stim-image"" alt=""firot_sing.png"">
        <p class=""instr-text"">Which word matches this picture?</p>
      </div>","0","html-button-response","62","2.1.0","196766","forced_choice","stage1","firot","false","","Exposure","guapzdtayb","firot","fitor","0","true","18","","","","","","","","","","","","","",""
"833","
        <div class=""trial-box feedback-box feedback-correct"">
          <p>✓ Correct!</p>
          <p>The correct answer was: <strong>firot</strong></p>
        </div>","0","html-button-response","63","2.1.0","197599","feedback","stage1","","","","Exposure","guapzdtayb","","","","","","","","","","","","","","","","","","",""
"3751","
      <div class=""trial-box"">
        <img src=""images/tugan_plur.png"" class=""stim-image"" alt=""tugan_plur.png"">
        <p class=""instr-text"">Which word matches this picture?</p>
      </div>","0","html-button-response","64","2.1.0","201351","forced_choice","stage1","tugan","true","","Exposure","guapzdtayb","tugannup","tagunnup","0","true","19","","","","","","","","","","","","","",""
"911","
        <div class=""trial-box feedback-box feedback-correct"">
          <p>✓ Correct!</p>
          <p>The correct answer was: <strong>tugannup</strong></p>
        </div>","0","html-button-response","65","2.1.0","202263","feedback","stage1","","","","Exposure","guapzdtayb","","","","","","","","","","","","","","","","","","",""
"4075","
      <div class=""trial-box"">
        <img src=""images/jemulok_sing.png"" class=""stim-image"" alt=""jemulok_sing.png"">
        <p class=""instr-text"">Which word matches this picture?</p>
      </div>","0","html-button-response","66","2.1.0","206339","forced_choice","stage1","jemulok","false","","Exposure","guapzdtayb","jemulok","jelumok","0","true","20","","","","","","","","","","","","","",""
"860","
        <div class=""trial-box feedback-box feedback-correct"">
          <p>✓ Correct!</p>
          <p>The correct answer was: <strong>jemulok</strong></p>
        </div>","0","html-button-response","67","2.1.0","207200","feedback","stage1","","","","Exposure","guapzdtayb","","","","","","","","","","","","","","","","","","",""
"2094","
      <div class=""trial-box"">
        <div class=""word-display"">takoles</div>
        <img src=""images/takoles_sing.png"" class=""stim-image"" alt=""takoles_sing.png"">
      </div>","0","html-button-response","68","2.1.0","209294","passive_exposure","stage1","takoles","false","null","Exposure","guapzdtayb","","","","","","","","","","","","","","","","","","",""
"2761","
      <div class=""trial-box"">
        <div class=""word-display"">nuwikdup</div>
        <img src=""images/nuwik_plur.png"" class=""stim-image"" alt=""nuwik_plur.png"">
      </div>","0","html-button-response","69","2.1.0","212056","passive_exposure","stage1","nuwik","true","dup","Exposure","guapzdtayb","","","","","","","","","","","","","","","","","","",""
"2073","
      <div class=""trial-box"">
        <div class=""word-display"">falon</div>
        <img src=""images/falon_sing.png"" class=""stim-image"" alt=""falon_sing.png"">
      </div>","0","html-button-response","70","2.1.0","214130","passive_exposure","stage1","falon","false","null","Exposure","guapzdtayb","","","","","","","","","","","","","","","","","","",""
"1692","
      <div class=""trial-box"">
        <div class=""word-display"">wukindup</div>
        <img src=""images/wukin_plur.png"" class=""stim-image"" alt=""wukin_plur.png"">
      </div>","0","html-button-response","71","2.1.0","215823","passive_exposure","stage1","wukin","true","dup","Exposure","guapzdtayb","","","","","","","","","","","","","","","","","","",""
"3035","
      <div class=""trial-box"">
        <img src=""images/wukin_plur.png"" class=""stim-image"" alt=""wukin_plur.png"">
        <p class=""instr-text"">Which word matches this picture?</p>
      </div>","1","html-button-response","72","2.1.0","218859","forced_choice","stage1","wukin","true","","Exposure","guapzdtayb","wukindup","wikundup","1","true","21","","","","","","","","","","","","","",""
"1008","
        <div class=""trial-box feedback-box feedback-correct"">
          <p>✓ Correct!</p>
          <p>The correct answer was: <strong>wukindup</strong></p>
        </div>","0","html-button-response","73","2.1.0","219868","feedback","stage1","","","","Exposure","guapzdtayb","","","","","","","","","","","","","","","","","","",""
"1352","
      <div class=""trial-box"">
        <img src=""images/falon_sing.png"" class=""stim-image"" alt=""falon_sing.png"">
        <p class=""instr-text"">Which word matches this picture?</p>
      </div>","1","html-button-response","74","2.1.0","221221","forced_choice","stage1","falon","false","","Exposure","guapzdtayb","falon","folan","1","true","22","","","","","","","","","","","","","",""
"836","
        <div class=""trial-box feedback-box feedback-correct"">
          <p>✓ Correct!</p>
          <p>The correct answer was: <strong>falon</strong></p>
        </div>","0","html-button-response","75","2.1.0","222057","feedback","stage1","","","","Exposure","guapzdtayb","","","","","","","","","","","","","","","","","","",""
"2106","
      <div class=""trial-box"">
        <img src=""images/takoles_sing.png"" class=""stim-image"" alt=""takoles_sing.png"">
        <p class=""instr-text"">Which word matches this picture?</p>
      </div>","0","html-button-response","76","2.1.0","224164","forced_choice","stage1","takoles","false","","Exposure","guapzdtayb","takoles","katoles","0","true","23","","","","","","","","","","","","","",""
"882","
        <div class=""trial-box feedback-box feedback-correct"">
          <p>✓ Correct!</p>
          <p>The correct answer was: <strong>takoles</strong></p>
        </div>","0","html-button-response","77","2.1.0","225047","feedback","stage1","","","","Exposure","guapzdtayb","","","","","","","","","","","","","","","","","","",""
"2688","
      <div class=""trial-box"">
        <img src=""images/nuwik_plur.png"" class=""stim-image"" alt=""nuwik_plur.png"">
        <p class=""instr-text"">Which word matches this picture?</p>
      </div>","1","html-button-response","78","2.1.0","227735","forced_choice","stage1","nuwik","true","","Exposure","guapzdtayb","nuwikdup","niwukdup","1","true","24","","","","","","","","","","","","","",""
"1181","
        <div class=""trial-box feedback-box feedback-correct"">
          <p>✓ Correct!</p>
          <p>The correct answer was: <strong>nuwikdup</strong></p>
        </div>","0","html-button-response","79","2.1.0","228917","feedback","stage1","","","","Exposure","guapzdtayb","","","","","","","","","","","","","","","","","","",""
"2223","
      <div class=""trial-box"">
        <div class=""word-display"">maqub</div>
        <img src=""images/maqub_sing.png"" class=""stim-image"" alt=""maqub_sing.png"">
      </div>","0","html-button-response","80","2.1.0","231140","passive_exposure","stage1","maqub","false","null","Exposure","guapzdtayb","","","","","","","","","","","","","","","","","","",""
"2749","
      <div class=""trial-box"">
        <div class=""word-display"">gequzis</div>
        <img src=""images/gequzis_sing.png"" class=""stim-image"" alt=""gequzis_sing.png"">
      </div>","0","html-button-response","81","2.1.0","233890","passive_exposure","stage1","gequzis","false","null","Exposure","guapzdtayb","","","","","","","","","","","","","","","","","","",""
"7468","
      <div class=""trial-box"">
        <img src=""images/gequzis_sing.png"" class=""stim-image"" alt=""gequzis_sing.png"">
        <p class=""instr-text"">Which word matches this picture?</p>
      </div>","1","html-button-response","82","2.1.0","241359","forced_choice","stage1","gequzis","false","","Exposure","guapzdtayb","gequzis","gequsiz","1","true","25","","","","","","","","","","","","","",""
"854","
        <div class=""trial-box feedback-box feedback-correct"">
          <p>✓ Correct!</p>
          <p>The correct answer was: <strong>gequzis</strong></p>
        </div>","0","html-button-response","83","2.1.0","242213","feedback","stage1","","","","Exposure","guapzdtayb","","","","","","","","","","","","","","","","","","",""
"2227","
      <div class=""trial-box"">
        <img src=""images/maqub_sing.png"" class=""stim-image"" alt=""maqub_sing.png"">
        <p class=""instr-text"">Which word matches this picture?</p>
      </div>","0","html-button-response","84","2.1.0","244441","forced_choice","stage1","maqub","false","","Exposure","guapzdtayb","maqub","mabuq","0","true","26","","","","","","","","","","","","","",""
"667","
        <div class=""trial-box feedback-box feedback-correct"">
          <p>✓ Correct!</p>
          <p>The correct answer was: <strong>maqub</strong></p>
        </div>","0","html-button-response","85","2.1.0","245108","feedback","stage1","","","","Exposure","guapzdtayb","","","","","","","","","","","","","","","","","","",""
"6392","
    <div class=""instr-box"">
      <h2>Meet the aliens</h2>
      <p>The language you have been learning is spoken by two alien species: <strong>Gulus</strong> and <strong>Norls</strong>.</p>
      <p>On the next screens you will see images of both species. Try to learn which is which!</p>
    </div>","0","html-button-response","86","2.1.0","251501","alien_intro","","","","","Exposure","guapzdtayb","","","","","","","","","","","","","","","","","","",""
